id,source,target,type
22772,11382,14248,contains
22773,11382,14249,contains
22774,11382,14250,contains
22775,11382,14251,contains
22776,11382,14252,contains
22777,11382,14253,contains
22778,11382,14254,contains
22779,11382,14255,contains
22780,11382,14256,contains
22781,11383,14257,contains
22782,11383,14258,contains
22783,11383,14259,contains
22784,11383,14260,contains
22785,11383,14261,contains
22786,11387,14262,contains
22787,11387,14263,contains
22788,11391,14264,contains
22789,11391,14265,contains
22790,11391,14266,contains
22791,11392,14267,contains
22792,11392,14268,contains
22793,11392,14269,contains
22794,11393,14270,contains
22795,11393,14271,contains
22796,11393,14272,contains
22797,11399,14273,contains
22798,11399,14274,contains
22799,11400,14275,contains
22800,11403,14276,contains
22801,11404,14277,contains
22802,11405,14278,contains
22803,11406,14279,contains
22804,11406,14280,contains
22805,11406,14281,contains
22806,11406,14282,contains
22807,11409,14283,contains
22808,11423,14284,contains
22809,11423,14285,contains
22810,11425,14286,contains
22811,11430,14287,contains
22812,11430,14288,contains
22813,11429,14289,contains
22814,11432,14290,contains
22815,11434,14291,contains
22816,11435,14292,contains
22817,11435,14293,contains
22818,11435,14294,contains
22819,11435,14295,contains
22820,11389,14296,contains
22821,11440,14297,contains
22822,11440,14298,contains
22823,11440,14299,contains
22824,11441,14300,contains
22825,11441,14301,contains
22826,11441,14302,contains
22827,11441,14303,contains
22828,11442,14304,contains
22829,11442,14305,contains
22830,11443,14306,contains
22831,11443,14307,contains
22832,11443,14308,contains
22833,11447,14309,contains
22834,11447,14310,contains
22835,11447,14311,contains
22836,11447,14312,contains
22837,11447,14313,contains
22838,11459,14314,contains
22839,11460,14315,contains
22840,11460,14316,contains
22841,11460,14317,contains
22842,11460,14318,contains
22843,11461,14319,contains
22844,11461,14320,contains
22845,11461,14321,contains
22846,11462,14322,contains
22847,11462,14323,contains
22848,11462,14324,contains
22849,11462,14325,contains
22850,11464,14326,contains
22851,11466,14327,contains
22852,11469,14328,contains
22853,11478,14329,contains
22854,11478,14330,contains
22855,11477,14331,contains
22856,11477,14332,contains
22857,11477,14333,contains
22858,11477,14334,contains
22859,11477,14335,contains
22860,10676,14336,contains
22861,11482,14337,contains
22862,11483,14338,contains
22863,11483,14339,contains
22864,11484,14340,contains
22865,11487,14341,contains
22866,11487,14342,contains
22867,11489,14343,contains
22868,11490,14344,contains
22869,11490,14345,contains
22870,11490,14346,contains
22871,11490,14347,contains
22872,11490,14348,contains
22873,11491,14349,contains
22874,11491,14350,contains
22875,11491,14351,contains
22876,11492,14352,contains
22877,11073,14353,contains
22878,11073,14354,contains
22879,11073,14355,contains
22880,11073,14356,contains
22881,11073,14357,contains
22882,11497,14358,contains
22883,11497,14359,contains
22884,11497,14360,contains
22885,11497,14361,contains
22886,11501,14362,contains
22887,11501,14363,contains
22888,11505,14364,contains
22889,11505,14365,contains
22890,11505,14366,contains
22891,11505,14367,contains
22892,11505,14368,contains
22893,11505,14369,contains
22894,11505,14370,contains
22895,11505,14371,contains
22896,11505,14372,contains
22897,11507,14373,contains
22898,11507,14374,contains
22899,11507,14375,contains
22900,11507,14376,contains
22901,11508,14377,contains
22902,11520,14378,contains
22903,11521,14379,contains
22904,11521,14380,contains
22905,11521,14381,contains
22906,11521,14382,contains
22907,11521,14383,contains
22908,11521,14384,contains
22909,11521,14385,contains
22910,11521,14386,contains
22911,11532,14387,contains
22912,11532,14388,contains
22913,11532,14389,contains
22914,11532,14390,contains
22915,11532,14391,contains
22916,11532,14392,contains
22917,11533,14393,contains
22918,11535,14394,contains
22919,11537,14395,contains
22920,11479,14396,contains
22921,11603,14397,contains
22922,11604,14398,contains
22923,11604,14399,contains
22924,11605,14400,contains
22925,11606,14401,contains
22926,11606,14402,contains
22927,11606,14403,contains
22928,11606,14404,contains
22929,11606,14405,contains
22930,11609,14406,contains
22931,11610,14407,contains
22932,11610,14408,contains
22933,11610,14409,contains
22934,11611,14410,contains
22935,11613,14411,contains
22936,11614,14412,contains
22937,11616,14413,contains
22938,11616,14414,contains
22939,11618,14415,contains
22940,11618,14416,contains
22941,11619,14417,contains
22942,11619,14418,contains
22943,11622,14419,contains
22944,11623,14420,contains
22945,11625,14421,contains
22946,11625,14422,contains
22947,11625,14423,contains
22948,11627,14424,contains
22949,11627,14425,contains
22950,11627,14426,contains
22951,11627,14427,contains
22952,11645,14428,contains
22953,11649,14429,contains
22954,11650,14430,contains
22955,11650,14431,contains
22956,11650,14432,contains
22957,11652,14433,contains
22958,11653,14434,contains
22959,11664,14435,contains
22960,11664,14436,contains
22961,11664,14437,contains
22962,11664,14438,contains
22963,11665,14439,contains
22964,11674,14440,contains
22965,11674,14441,contains
22966,11674,14442,contains
22967,11676,14443,contains
22968,11677,14444,contains
22969,11677,14445,contains
22970,11677,14446,contains
22971,11679,14447,contains
22972,11679,14448,contains
22973,11679,14449,contains
22974,11692,14450,contains
22975,11710,14451,contains
22976,11711,14452,contains
22977,11711,14453,contains
22978,11711,14454,contains
22979,11713,14455,contains
22980,11713,14456,contains
22981,11713,14457,contains
22982,11725,14458,contains
22983,11725,14459,contains
22984,11725,14460,contains
22985,11727,14461,contains
22986,11728,14462,contains
22987,11728,14463,contains
22988,11727,14464,contains
22989,11730,14465,contains
22990,11730,14466,contains
22991,11730,14467,contains
22992,11730,14468,contains
22993,11730,14469,contains
22994,11730,14470,contains
22995,11731,14471,contains
22996,11731,14472,contains
22997,11731,14473,contains
22998,11679,14474,contains
22999,11730,14475,contains
23000,11748,14476,contains
23001,11762,14477,contains
23002,11762,14478,contains
23003,11762,14479,contains
23004,11762,14480,contains
23005,11762,14481,contains
23006,11765,14482,contains
23007,11765,14483,contains
23008,11765,14484,contains
23009,11768,14485,contains
23010,11768,14486,contains
23011,11774,14487,contains
23012,11775,14488,contains
23013,11610,14489,contains
23014,11776,14490,contains
23015,11799,14491,contains
23016,11802,14492,contains
23017,11806,14493,contains
23018,11806,14494,contains
23019,11806,14495,contains
23020,11806,14496,contains
23021,11838,14497,contains
23022,11839,14498,contains
23023,11839,14499,contains
23024,11839,14500,contains
23025,11841,14501,contains
23026,11843,14502,contains
23027,11843,14503,contains
23028,11843,14504,contains
